Name,Corporation,Type,Address,Phone,lat,lng,Price,1 Bedroom,2 Bedroom,3 Bedroom,4+ Bedroom,Communal Bathroom,Single Bathroom,Multi Bathroom,Air Conditioning,Pets,Laundry,Transportation
Pine Ridge,DABCO,Commercial Apartment,"1890 NE Merman Dr, Pullman WA",509-334-6266,46.747345,-117.150929,600-1200,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Communal Laundry,Yes
PP and B,DABCO,Commercial Apartment,1037 D Street,509-334-6266,46.735791,-117.166005,500-600,Yes,No,No,No,No,Yes,No,No,No,Communal Laundry,Yes
Providence Court,DABCO,Commercial Apartment,"880 NE Providence Ct, Pullman WA",509-334-6266,46.739342,-117.167778,600-1300,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Communal Laundry,Yes
Schalimar,DABCO,Commercial Apartment,1100 Stadium Way,509-334-6266,46.737574,-117.166426,500-800,Yes,Yes,No,No,No,Yes,No,No,No,Communal Laundry,Yes
Pimlico,DABCO,Commercial Apartment,1455 NE Brandi Way,509-334-6266,46.7409153,-117.1669571,600-1400,Yes,Yes,Yes,No,No,Yes,Yes,No,No,In Room Laundry,Yes
Valleyford,DABCO,Commercial Apartment,1205 NE Valley Rd,509-334-6266,46.738971,-117.16606,500-600,Yes,No,No,No,No,Yes,No,No,No,Communal Laundry,Yes
Cedar Ridge,"Summerhill Rentals, LLC",Commercial Apartment,1440 NE Merman Drive,509-334-6408,46.742756,-117.156529,500-700,No,Yes,No,No,No,Yes,No,No,No,Communal Laundry,Yes
Meadow Brook,"Summerhill Rentals, LLC",Commercial Apartment,1535 NE Merman Dr,509-334-6408,46.745006,-117.154009,500-600,Yes,Yes,No,No,No,Yes,No,No,No,Communal Laundry,Yes
Summerhill,"Summerhill Rentals, LLC",Commercial Apartment,1915 Terre View Dr,509-334-6408,46.743734,-117.155899,500-600,No,Yes,No,No,No,Yes,No,No,No,Communal Laundry,Yes
Boulder Creek,"Summerhill Rentals, LLC",Commercial Apartment,1545 NE Merman Dr,509-334-6408,46.744863,-117.153919,400-900,Yes,Yes,Yes,No,No,Yes,No,No,No,Communal Laundry,Yes
The Laurel Apartments,Washington Apartment Rentals,Commercial Apartment,1585 NW Turner Dr,509-332-8622,46.744288,-117.175422,500-700,Yes,Yes,No,No,No,Yes,No,No,Yes,Communal Laundry,Yes
The West View Terrace Apartments,Washington Apartment Rentals,Commercial Apartment,1130 Markly Dr,509-332-8622,46.738529,-117.17255,500-700,Yes,Yes,No,No,No,Yes,No,No,Yes,Communal Laundry,Yes
The Cougar Apartments,Washington Apartment Rentals,Commercial Apartment,205 NW Larry Street,509-332-8622,46.746955,-117.175419,500-600,Yes,No,No,No,No,Yes,No,No,Yes,Communal Laundry,Yes
The Aegis Apartments,Washington Apartment Rentals,Commercial Apartment,1610 NE Wheatland Dr ,509-332-8622,46.739407,-117.160456,500-600,Yes,No,No,No,No,Yes,No,No,Yes,Communal Laundry,Yes
The Morton Street Apartments,Washington Apartment Rentals,Commercial Apartment,545 NE Morton Street,509-332-8622,46.731857,-117.173441,500-700,Yes,Yes,No,No,No,Yes,No,No,Yes,Communal Laundry,Yes
The Valley View Apartments,Washington Apartment Rentals,Commercial Apartment,1325 NE Valley Rd,509-332-8622,46.740132,-117.162707,600-700,Yes,Yes,No,No,No,Yes,No,No,Yes,Communal Laundry,Yes
Glendimer Apartments,Glendimer Apartments,Commercial Apartment,125 NW Larry St,509-332-7704,46.746864,-117.173154,400-500,Yes,No,No,No,No,Yes,No,No,Yes,Communal Laundry,Yes
College Crest,College Crest,Commercial Apartment,1555 NE Merman Dr,509-332-4407,46.743996,117.152786,400-500,No,No,Yes,No,No,No,Yes,No,Yes,Communal Laundry,Yes
Palouse Trace Apartments,Palouse Trace   Terre View Apartments,Commercial Apartment,375 NE Terre View Dr,509-334-1400,46.748151,-117.170455,600-700,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,None,Yes
The Grove,Campus Crest,Commercial Apartment,1560 NE Brandi Way,509-332-0135,46.7314423,-117.1665643,600-700,No,Yes,Yes,No,No,No,Yes,Yes,Yes,In Room Laundry,Yes
Chief Joseph Village,Washington State University,University Apartment,2025 NE Terre View Dr,509-334-4400,46.742963,-117.155039,900-1600,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Communal Laundry,Yes
Chinook Village,Washington State University,University Apartment,710 SE Chinook Dr,509-335-2506,46.724282,-117.15974,800-1300,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Communal Laundry,Yes
Columbia Village,Washington State University,University Apartment,540 SE Forest Way,509-335-2286,46.725896,-117.160239,800-900,No,Yes,No,No,No,Yes,No,No,Yes,Communal Laundry,Yes
Nez Perce Village,Washington State University,University Apartment,NE North Fairway Dr,509-335-7732,46.739811,-117.152651,800-900,No,Yes,No,No,No,Yes,No,No,Yes,Communal Laundry,Yes
Kamiak,Washington State University,University Apartment,1650 NE Valley Rd,509-335-1227,46.740258,-117.161272,500-600,Yes,Yes,No,No,No,Yes,No,No,Yes,Communal Laundry,Yes
Steptoe Village,Washington State University,University Apartment,1630 NE Valley Rd,509-335-3074,46.740043,-117.163292,600-800,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Communal Laundry,Yes
Valley Crest Village,Washington State University,University Apartment,2280 NE Ellis Way,509-335-2179,46.7331958,-117.1533278,700-900,No,Yes,No,No,No,Yes,No,No,Yes,Communal Laundry,Yes
Terrace,Washington State University,University Apartment,1401 NE Merman Dr,509-335-7652,46.7415407,-117.1610141,400-700,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Communal Laundry,Yes
Yakima Village,Washington State University,University Apartment,675 SE Forest Way,509-332-0646,46.7221056,-117.165434,500-900,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Communal Laundry,Yes
Community/Duncan Dunn,Washington State University,Residence Hall,720 NE B Street,509-335-2482,46.735297,-117.1628686,N/A,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Communal Laundry,Yes
Gannon/Goldsworthy,Washington State University,Residence Hall,1459 SE Stadium Way,509-335-3382,46.7277824,-117.1651642,N/A,No,Yes,No,No,Yes,No,No,No,No,Communal Laundry,Yes
Global Scholars Hall,Washington State University,Residence Hall,1302 NE Cougar Way,509-335-1382,46.7329703,-117.1634812,N/A,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Communal Laundry,Yes
Honors,Washington State University,Residence Hall,600 NE Spokane Street,509-335-3087,46.7317133,-117.1701084,N/A,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Communal Laundry,Yes
McCroskey,Washington State University,Residence Hall,1055 NE Campus Ave,509-335-3087,46.7319871,-117.1689001,N/A,Yes,Yes,No,No,Yes,Yes,No,No,No,Communal Laundry,Yes
McEachern,Washington State University,Residence Hall,1500 SE Olympia Ave,509-335-2560,46.7269442,-117.1636547,N/A,Yes,No,No,No,Yes,Yes,No,No,No,Communal Laundry,Yes
Northside,Washington State University,Residence Hall,1590 NE Cougar Way,509-335-0078,46.7343957,-117.1636645,N/A,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Communal Laundry,Yes
Olympia,Washington State University,Residence Hall,1620 SE Olympia Ave,509-335-8924,46.7272638,-117.1626044,N/A,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Communal Laundry,Yes
Orton,Washington State University,Residence Hall,1475 SE Olympia Ave,509-335-3306,46.7272711,-117.1626044,N/A,Yes,No,No,No,Yes,No,No,No,No,Communal Laundry,Yes
Regents,Washington State University,Residence Hall,1580 NE Cougar Way,509-335-3891,46.7344987,-117.1651067,N/A,Yes,Yes,No,No,Yes,No,No,No,No,Communal Laundry,Yes
Rogers,Washington State University,Residence Hall,1355 SE Olympia Ave,509-335-4070,46.7259365,-117.1666854,N/A,Yes,Yes,No,No,Yes,No,No,No,No,Communal Laundry,Yes
Scott-Coman,Washington State University,Residence Hall,1320 NE Cougar Way,509-335-3109,46.7342935,-117.1640138,N/A,Yes,Yes,No,No,Yes,No,No,No,No,Communal Laundry,Yes
Stephenson Complex,Washington State University,Residence Hall,1265 SE Stadium Way,509-335-5602,46.7260736,-117.1682439,N/A,No,Yes,No,No,Yes,No,No,No,No,Communal Laundry,Yes
Stevens,Washington State University,Residence Hall,600 NE Vertrans Way,509-335-3087,46.7317438,-117.1682725,N/A,Yes,Yes,No,No,Yes,No,No,No,No,Communal Laundry,Yes
Stimson,Washington State University,Residence Hall,1355 East College Ave,509-335-8564,46.7287528,-117.1667388,N/A,Yes,Yes,No,No,Yes,Yes,No,No,No,Communal Laundry,Yes
Streit-Perham,Washington State University,Residence Hall,1620 NE Cougar Way,509-335-5925,46.735297,-117.1628686,N/A,Yes,Yes,No,No,Yes,No,No,No,No,Communal Laundry,Yes
Wilmer-Davis,Washington State University,Residence Hall,725 NE Thatuna Street,509-335-3087,46.7327754,-117.1664708,N/A,Yes,Yes,No,No,Yes,No,No,No,No,Communal Laundry,Yes
