Name,Price,Corporation,Type,Address,Phone,lat,lng,1 Bedroom,2 Bedroom,3 Bedroom,4+ Bedroom,Communal Bathroom,Single Bathroom,Multi Bathroom,Air Conditioning,Pets,Laundry,Transportation
Pine Ridge,600-1200,DABCO,Commercial Apartment,"1890 NE Merman Dr, Pullman WA",509-334-6266,46.747345,-117.150929,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Communal Laundry,Yes
PP and B,500-600,DABCO,Commercial Apartment,1037 D Street,509-334-6266,46.735791,-117.166005,Yes,No,No,No,No,Yes,No,No,No,Communal Laundry,Yes
Providence Court,600-1300,DABCO,Commercial Apartment,"880 NE Providence Ct, Pullman WA",509-334-6266,46.739342,-117.167778,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Communal Laundry,Yes
Schalimar,500-800,DABCO,Commercial Apartment,1100 Stadium Way,509-334-6266,46.737574,-117.166426,Yes,Yes,No,No,No,Yes,No,No,No,Communal Laundry,Yes
Pimlico,600-1400,DABCO,Commercial Apartment,1455 NE Brandi Way,509-334-6266,46.7409153,-117.1669571,Yes,Yes,Yes,No,No,Yes,Yes,No,No,In Room Laundry,Yes
Valleyford,500-600,DABCO,Commercial Apartment,1205 NE Valley Rd,509-334-6266,46.738971,-117.16606,Yes,No,No,No,No,Yes,No,No,No,Communal Laundry,Yes
Cedar Ridge,500-700,"Summerhill Rentals, LLC",Commercial Apartment,1440 NE Merman Drive,509-334-6408,46.742756,-117.156529,No,Yes,No,No,No,Yes,No,No,No,Communal Laundry,Yes
Meadow Brook,500-600,"Summerhill Rentals, LLC",Commercial Apartment,1535 NE Merman Dr,509-334-6408,46.745006,-117.154009,Yes,Yes,No,No,No,Yes,No,No,No,Communal Laundry,Yes
Summerhill,500-600,"Summerhill Rentals, LLC",Commercial Apartment,1915 Terre View Dr,509-334-6408,46.743734,-117.155899,No,Yes,No,No,No,Yes,No,No,No,Communal Laundry,Yes
Boulder Creek,400-900,"Summerhill Rentals, LLC",Commercial Apartment,1545 NE Merman Dr,509-334-6408,46.744863,-117.153919,Yes,Yes,Yes,No,No,Yes,No,No,No,Communal Laundry,Yes
The Laurel Apartments,500-700,Washington Apartment Rentals,Commercial Apartment,1585 NW Turner Dr,509-332-8622,46.744288,-117.175422,Yes,Yes,No,No,No,Yes,No,No,Yes,Communal Laundry,Yes
The West View Terrace Apartments,500-700,Washington Apartment Rentals,Commercial Apartment,1130 Markly Dr,509-332-8622,46.738529,-117.17255,Yes,Yes,No,No,No,Yes,No,No,Yes,Communal Laundry,Yes
The Cougar Apartments,500-600,Washington Apartment Rentals,Commercial Apartment,205 NW Larry Street,509-332-8622,46.746955,-117.175419,Yes,No,No,No,No,Yes,No,No,Yes,Communal Laundry,Yes
The Aegis Apartments,500-600,Washington Apartment Rentals,Commercial Apartment,1610 NE Wheatland Dr ,509-332-8622,46.739407,-117.160456,Yes,No,No,No,No,Yes,No,No,Yes,Communal Laundry,Yes
The Morton Street Apartments,500-700,Washington Apartment Rentals,Commercial Apartment,545 NE Morton Street,509-332-8622,46.731857,-117.173441,Yes,Yes,No,No,No,Yes,No,No,Yes,Communal Laundry,Yes
The Valley View Apartments,600-700,Washington Apartment Rentals,Commercial Apartment,1325 NE Valley Rd,509-332-8622,46.740132,-117.162707,Yes,Yes,No,No,No,Yes,No,No,Yes,Communal Laundry,Yes
Glendimer Apartments,400-500,Glendimer Apartments,Commercial Apartment,125 NW Larry St,509-332-7704,46.746864,-117.173154,Yes,No,No,No,No,Yes,No,No,Yes,Communal Laundry,Yes
College Crest,400-500,College Crest,Commercial Apartment,1555 NE Merman Dr,509-332-4407,46.743996,117.152786,No,No,Yes,No,No,No,Yes,No,Yes,Communal Laundry,Yes
Palouse Trace Apartments,600-700,Palouse Trace   Terre View Apartments,Commercial Apartment,375 NE Terre View Dr,509-334-1400,46.748151,-117.170455,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,None,Yes
The Grove,600-700,Campus Crest,Commercial Apartment,1560 NE Brandi Way,509-332-0135,46.7314423,-117.1665643,No,Yes,Yes,No,No,No,Yes,Yes,Yes,In Room Laundry,Yes
Chief Joseph Village,900-1600,Washington State University,University Apartment,2025 NE Terre View Dr,509-334-4400,46.742963,-117.155039,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Communal Laundry,Yes
Chinook Village,800-1300,Washington State University,University Apartment,710 SE Chinook Dr,509-335-2506,46.724282,-117.15974,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Communal Laundry,Yes
Columbia Village,800-900,Washington State University,University Apartment,540 SE Forest Way,509-335-2286,46.725896,-117.160239,No,Yes,No,No,No,Yes,No,No,Yes,Communal Laundry,Yes
Nez Perce Village,800-900,Washington State University,University Apartment,NE North Fairway Dr,509-335-7732,46.739811,-117.152651,No,Yes,No,No,No,Yes,No,No,Yes,Communal Laundry,Yes
Kamiak,500-600,Washington State University,University Apartment,1650 NE Valley Rd,509-335-1227,46.740258,-117.161272,Yes,Yes,No,No,No,Yes,No,No,Yes,Communal Laundry,Yes
Steptoe Village,600-800,Washington State University,University Apartment,1630 NE Valley Rd,509-335-3074,46.740043,-117.163292,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Communal Laundry,Yes
Valley Crest Village,700-900,Washington State University,University Apartment,2280 NE Ellis Way,509-335-2179,46.7331958,-117.1533278,No,Yes,No,No,No,Yes,No,No,Yes,Communal Laundry,Yes
Terrace,400-700,Washington State University,University Apartment,1401 NE Merman Dr,509-335-7652,46.7415407,-117.1610141,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Communal Laundry,Yes
Yakima Village,500-900,Washington State University,University Apartment,675 SE Forest Way,509-332-0646,46.7221056,-117.165434,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Communal Laundry,Yes
Community/Duncan Dunn,N/A,Washington State University,Residence Hall,720 NE B Street,509-335-2482,46.735297,-117.1628686,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Communal Laundry,Yes
Gannon/Goldsworthy,N/A,Washington State University,Residence Hall,1459 SE Stadium Way,509-335-3382,46.7277824,-117.1651642,No,Yes,No,No,Yes,No,No,No,No,Communal Laundry,Yes
Global Scholars Hall,N/A,Washington State University,Residence Hall,1302 NE Cougar Way,509-335-1382,46.7329703,-117.1634812,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Communal Laundry,Yes
Honors,N/A,Washington State University,Residence Hall,600 NE Spokane Street,509-335-3087,46.7317133,-117.1701084,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Communal Laundry,Yes
McCroskey,N/A,Washington State University,Residence Hall,1055 NE Campus Ave,509-335-3087,46.7319871,-117.1689001,Yes,Yes,No,No,Yes,Yes,No,No,No,Communal Laundry,Yes
McEachern,N/A,Washington State University,Residence Hall,1500 SE Olympia Ave,509-335-2560,46.7269442,-117.1636547,Yes,No,No,No,Yes,Yes,No,No,No,Communal Laundry,Yes
Northside,N/A,Washington State University,Residence Hall,1590 NE Cougar Way,509-335-0078,46.7343957,-117.1636645,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Communal Laundry,Yes
Olympia,N/A,Washington State University,Residence Hall,1620 SE Olympia Ave,509-335-8924,46.7272638,-117.1626044,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Communal Laundry,Yes
Orton,N/A,Washington State University,Residence Hall,1475 SE Olympia Ave,509-335-3306,46.7272711,-117.1626044,Yes,No,No,No,Yes,No,No,No,No,Communal Laundry,Yes
Regents,N/A,Washington State University,Residence Hall,1580 NE Cougar Way,509-335-3891,46.7344987,-117.1651067,Yes,Yes,No,No,Yes,No,No,No,No,Communal Laundry,Yes
Rogers,N/A,Washington State University,Residence Hall,1355 SE Olympia Ave,509-335-4070,46.7259365,-117.1666854,Yes,Yes,No,No,Yes,No,No,No,No,Communal Laundry,Yes
Scott-Coman,N/A,Washington State University,Residence Hall,1320 NE Cougar Way,509-335-3109,46.7342935,-117.1640138,Yes,Yes,No,No,Yes,No,No,No,No,Communal Laundry,Yes
Stephenson Complex,N/A,Washington State University,Residence Hall,1265 SE Stadium Way,509-335-5602,46.7260736,-117.1682439,No,Yes,No,No,Yes,No,No,No,No,Communal Laundry,Yes
Stevens,N/A,Washington State University,Residence Hall,600 NE Vertrans Way,509-335-3087,46.7317438,-117.1682725,Yes,Yes,No,No,Yes,No,No,No,No,Communal Laundry,Yes
Stimson,N/A,Washington State University,Residence Hall,1355 East College Ave,509-335-8564,46.7287528,-117.1667388,Yes,Yes,No,No,Yes,Yes,No,No,No,Communal Laundry,Yes
Streit-Perham,N/A,Washington State University,Residence Hall,1620 NE Cougar Way,509-335-5925,46.735297,-117.1628686,Yes,Yes,No,No,Yes,No,No,No,No,Communal Laundry,Yes
Wilmer-Davis,N/A,Washington State University,Residence Hall,725 NE Thatuna Street,509-335-3087,46.7327754,-117.1664708,Yes,Yes,No,No,Yes,No,No,No,No,Communal Laundry,Yes
